sid	yid	gt
dn12a#BKN009	dn12a	BKN009
dn12a#BKN014	dn12a	BKN014
dn12a#BKN015	dn12a	BKN015
dn12a#BKN016	dn12a	BKN016
dn12a#CAUMO17	dn12a	CAUMO17
dn12a#OH43	dn12a	OH43
dn12a#TDD39103	dn12a	TDD39103
dn12a#TIL15	dn12a	TIL15
dn12a#TIL25	dn12a	TIL25
dn12a#W64A	dn12a	W64A
dn14a#B73	dn14a	B73
dn14a#CH10	dn14a	CH10
dn14a#D06	dn14a	D06
dn14a#D09	dn14a	D09
dn14a#D152	dn14a	D152
dn14a#DK105	dn14a	DK105
dn14a#EC169	dn14a	EC169
dn14a#EC49A	dn14a	EC49A
dn14a#EP1	dn14a	EP1
dn14a#EP44	dn14a	EP44
dn14a#EZ5	dn14a	EZ5
dn14a#F03802	dn14a	F03802
dn14a#F252	dn14a	F252
dn14a#F283	dn14a	F283
dn14a#F2	dn14a	F2
dn14a#F353	dn14a	F353
dn14a#F618	dn14a	F618
dn14a#F64	dn14a	F64
dn14a#F7	dn14a	F7
dn14a#F98902	dn14a	F98902
dn14a#FF0721H-7	dn14a	FF0721H-7
dn14a#Lo11	dn14a	Lo11
dn14a#Mo17	dn14a	Mo17
dn14a#PH207	dn14a	PH207
dn14a#Teosinte	dn14a	Teosinte
dn14a#UH006	dn14a	UH006
dn14a#UH007	dn14a	UH007
dn14a#UH009	dn14a	UH009
dn14a#UH250	dn14a	UH250
dn14a#UH304	dn14a	UH304
dn14a#W117	dn14a	W117
dn17a#38-11Goodman-Buckler	dn17a	38-11Goodman-Buckler
dn17a#4226	dn17a	4226
dn17a#4722	dn17a	4722
dn17a#A188	dn17a	A188
dn17a#A214NGoodman-Buckler	dn17a	A214NGoodman-Buckler
dn17a#A239	dn17a	A239
dn17a#A441-5	dn17a	A441-5
dn17a#A619	dn17a	A619
dn17a#A632	dn17a	A632
dn17a#A634	dn17a	A634
dn17a#A635	dn17a	A635
dn17a#A641	dn17a	A641
