Genotype	inbred	sid	sid1	sid2	records	no_ALTs	SNPs	indels	MNPs	others	multiallelic	multiallelic_SNP
NKH8431xB73	FALSE		dn18a#NKH8431	dn19a#B73	4456272	0	4456272	0	0	0	0	0
NKH8431xMO17	FALSE		dn18a#NKH8431	dn18a#Mo17	5651518	0	5651518	0	0	0	0	0
NKH8431xPH207	FALSE		dn18a#NKH8431	dn18a#PH207	5186234	0	5186234	0	0	0	0	0
OH43xB73	FALSE		dn18a#Oh43	dn19a#B73	6305909	0	6305909	0	0	0	0	0
OH43xMO17	FALSE		dn18a#Oh43	dn18a#Mo17	5405701	0	5405701	0	0	0	0	0
OH43xPH207	FALSE		dn18a#Oh43	dn18a#PH207	5247558	0	5247558	0	0	0	0	0
PH207xB73	FALSE		dn18a#PH207	dn19a#B73	5722092	0	5722092	0	0	0	0	0
PH207xMO17	FALSE		dn18a#PH207	dn18a#Mo17	5032602	0	5032602	0	0	0	0	0
PH207xW22	FALSE		dn18a#PH207	dn17b#W22	3095546	0	3095546	0	0	0	0	0
PHB47xB73	FALSE		dn18a#PHB47	dn19a#B73	5628689	0	5628689	0	0	0	0	0
PHB47xMO17	FALSE		dn18a#PHB47	dn18a#Mo17	5689911	0	5689911	0	0	0	0	0
PHB47xPH207	FALSE		dn18a#PHB47	dn18a#PH207	5205421	0	5205421	0	0	0	0	0
PHG29xB73	FALSE		dn18a#PHG29	dn19a#B73	6157507	0	6157507	0	0	0	0	0
PHG29xMO17	FALSE		dn18a#PHG29	dn18a#Mo17	5156806	0	5156806	0	0	0	0	0
PHG29xPH207	FALSE		dn18a#PHG29	dn18a#PH207	864508	0	864508	0	0	0	0	0
PHG35xB73	FALSE		dn18a#PHG35	dn19a#B73	5786452	0	5786452	0	0	0	0	0
PHG35xMO17	FALSE		dn18a#PHG35	dn18a#Mo17	4802615	0	4802615	0	0	0	0	0
PHG35xPH207	FALSE		dn18a#PHG35	dn18a#PH207	3508229	0	3508229	0	0	0	0	0
PHG39xB73	FALSE		dn18a#PHG39	dn19a#B73	5611230	0	5611230	0	0	0	0	0
PHG39xMO17	FALSE		dn18a#PHG39	dn18a#Mo17	5325037	0	5325037	0	0	0	0	0
PHG39xPH207	FALSE		dn18a#PHG39	dn18a#PH207	5187389	0	5187389	0	0	0	0	0
PHG47xB73	FALSE		dn18a#PHG47	dn19a#B73	6215063	0	6215063	0	0	0	0	0
PHG47xMO17	FALSE		dn18a#PHG47	dn18a#Mo17	4893408	0	4893408	0	0	0	0	0
PHG47xPH207	FALSE		dn18a#PHG47	dn18a#PH207	5072563	0	5072563	0	0	0	0	0
PHG50xB73	FALSE		dn18a#PHG50	dn19a#B73	6265607	0	6265607	0	0	0	0	0
PHG50xMO17	FALSE		dn18a#PHG50	dn18a#Mo17	5237927	0	5237927	0	0	0	0	0
PHG50xPH207	FALSE		dn18a#PHG50	dn18a#PH207	1879638	0	1879638	0	0	0	0	0
PHG72xB73	FALSE		dn18a#PHG72	dn19a#B73	4539298	0	4539298	0	0	0	0	0
PHG72xMO17	FALSE		dn18a#PHG72	dn18a#Mo17	4691988	0	4691988	0	0	0	0	0
PHG72xPH207	FALSE		dn18a#PHG72	dn18a#PH207	1717949	0	1717949	0	0	0	0	0
PHG83xB73	FALSE		dn18a#PHG83	dn19a#B73	948917	0	948917	0	0	0	0	0
PHG83xMO17	FALSE		dn18a#PHG83	dn18a#Mo17	6084430	0	6084430	0	0	0	0	0
PHG83xPH207	FALSE		dn18a#PHG83	dn18a#PH207	5438238	0	5438238	0	0	0	0	0
PHJ40xB73	FALSE		dn18a#PHJ40	dn19a#B73	6029962	0	6029962	0	0	0	0	0
PHJ40xMO17	FALSE		dn18a#PHJ40	dn18a#Mo17	4364959	0	4364959	0	0	0	0	0
PHJ40xPH207	FALSE		dn18a#PHJ40	dn18a#PH207	5224296	0	5224296	0	0	0	0	0
PHN11xB73	FALSE		dn18a#PHN11	dn19a#B73	6045975	0	6045975	0	0	0	0	0
PHN11xMO17	FALSE		dn18a#PHN11	dn18a#Mo17	5067335	0	5067335	0	0	0	0	0
PHN11xPH207	FALSE		dn18a#PHN11	dn18a#PH207	991027	0	991027	0	0	0	0	0
PHW65xB73	FALSE		dn18a#PHW65	dn19a#B73	6304505	0	6304505	0	0	0	0	0
PHW65xMO17	FALSE		dn18a#PHW65	dn18a#Mo17	4794189	0	4794189	0	0	0	0	0
PHW65xPH207	FALSE		dn18a#PHW65	dn18a#PH207	4443635	0	4443635	0	0	0	0	0
W22xB73	FALSE		dn17b#W22	dn19a#B73	3262413	0	3262413	0	0	0	0	0
W22xPH207	FALSE		dn17b#W22	dn18a#PH207	3095546	0	3095546	0	0	0	0	0
