SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR4448254		1fec41ee885f	TSCA_Pre-'98_Bubba_Kush	1	TRUE	1418922	150
SRR4448255		20179f93e5f3	TSCA_Cannatonic	1	TRUE	1169343	150
SRR4448256		2a7afa26b933	TSCA_Chocolope	1	TRUE	1085068	150
SRR4448257		36967f1c2165	TSCA_Glacier_Goo	1	TRUE	1723267	150
SRR4448258		29bfbb318e9c	TSCA_Purple_Pineapple_Afghani	1	TRUE	1343745	150
SRR4448259		297fe7b0438a	TSCA_F2	1	TRUE	1972898	150
SRR4448260		291fe9acb2d6	TSCA_Sweet_tooth	1	TRUE	2419277	150
SRR4448261		109aa45db7f2	TSCA_Obama_Kush	1	TRUE	922512	150
SRR4448262		10ac9f323ba4	TSCA_Strawberry	1	TRUE	1062918	150
SRR4448263		10246963aa1e	TSCA_Dream_Queen	1	TRUE	909992	150
SRR4448264		1089ff0977fd	TSCA_Sour_Diesel	1	TRUE	576117	150
SRR4448265		113fad11f53d	TSCA_Durban_Poison	1	TRUE	1363844	150
SRR4448266		116deb7ea8bc	TSCA_Cherry_Cheesecake	1	TRUE	690168	150
SRR4448267		10ce2023b777	TSCA_#2_Pheno_KFx2	1	TRUE	897819	150
SRR4448268		10eab4ec3067	TSCA_Purple_Mr._Nice	1	TRUE	1045860	150
SRR4448269		11a0e41260a6	TSCA_God's_Gift	1	TRUE	1553082	150
SRR4448270		123daddac237	TSCA_Darkheart_3	1	TRUE	1013274	150
SRR4448271		1f8c5f31edca	TSCA_Sour_Diesel	1	TRUE	1062881	150
SRR4448272		18593d642167	TSCA_Harlequinn_#1	1	TRUE	3944205	150
SRR4448273		180c09cf1e6c	TSCA_Cadillac_Purple	1	TRUE	3526966	150
SRR4448274		15d42c0c40dd	TSCA_Bubba_Kush_Indoor	1	TRUE	1090922	150
SRR4448275		15c8ca4140e7	TSCA_Cannatonic	1	TRUE	842470	150
SRR4448276		1618e2eafcbb	TSCA_Unclebuds_J1	1	TRUE	1077073	150
SRR4448277		1609db69b7f6	TSCA_Cannatonic	1	TRUE	958797	150
SRR4448278		16d650db5ad7	TSCA_Schrom	1	TRUE	1119361	150
SRR4448279		16d565214125	TSCA_Fire_Out	1	TRUE	4027867	151
