sid	passed_filter_reads	low_quality_reads	too_many_N_reads	too_short_reads	too_long_reads
SRR4448337	4938924	234984	1164	734	0
SRR4448338	971328	39292	90	30	0
SRR4448339	2582662	95576	458	122	0
SRR4448340	3297274	160066	1838	672	0
SRR4448341	3138602	158152	792	68	0
SRR4448342	3297572	111988	642	302	0
SRR4448343	2185736	89192	42	3840	0
SRR4448344	2041058	81418	116	64	0
SRR4448345	2072322	75408	162	6	0
SRR4448346	1960886	96870	482	2158	0
SRR4448347	1005470	35962	220	360	0
SRR4448348	1138630	37388	20	34	0
SRR4448349	2691020	132598	626	588	0
SRR4448350	4093052	144152	764	112	0
SRR4448351	2948494	147964	718	168	0
SRR4448352	2139664	85150	378	586	0
SRR4448353	1508626	66336	820	370	0
SRR4448354	1537048	69770	828	146	0
SRR4448355	1565656	71610	812	48	0
SRR4448356	2791130	121874	1538	46	0
SRR4448357	7286858	617596	632	478	0
SRR4448358	1289744	51734	22	18	0
SRR4448359	657952	22906	138	24	0
SRR4448360	2818412	131802	114	54	0
SRR4448361	5657268	449270	500	50	0
SRR4448362	1194076	40124	80	222	0
SRR4448363	3017518	122106	544	232	0
SRR4448364	2258892	94454	38	426	0
SRR4448365	1356054	42980	82	58	0
SRR4448366	2514010	116172	664	18	0
SRR4448367	3136888	145620	1688	298	0
SRR4448368	1056586	40546	618	252	0
SRR4448369	2576868	118976	54	24	0
SRR4448370	2094638	73550	128	8	0
SRR4448371	2181468	87318	38	32	0
SRR4448372	2019464	69650	320	102	0
SRR4448373	2112938	97396	98	32	0
SRR4448374	1353622	57016	36	1332	0
SRR4448375	1287580	56218	60	0	0
SRR4448376	1833714	66148	356	50	0
SRR4448377	1131722	40424	578	758	0
SRR4448378	7000906	611786	600	32	0
SRR4448379	1346014	45670	100	246	0
SRR4448380	3651812	158866	204	50	0
SRR4448381	1036970	35806	56	182	0
SRR4448382	2122946	103872	566	302	0
SRR4448383	2041136	83644	40	60	0
SRR4448384	1217134	53004	684	94	0
SRR4448385	3688574	155914	190	744	0
SRR4448386	2474006	116238	1278	230	0
SRR4448387	1943970	91168	944	508	0
SRR4448388	4116472	187394	1080	964	0
SRR4448389	3452062	162346	910	126	0
SRR4448390	1568626	53158	134	1878	0
SRR4448391	2726862	141556	598	16	0
SRR4448392	6980070	615174	582	3718	0
SRR4448393	7256926	610750	648	36	0
SRR4448394	3131920	154080	708	992	0
SRR4448395	1886832	88818	110	22	0
SRR4448396	2296828	99486	86	116	0
SRR4448397	1547794	62248	116	2	0
SRR4448398	2779002	118622	154	110	0
SRR4448399	1966182	94426	452	452	0
SRR4448400	2360968	107294	1246	1144	0
SRR4448401	3003098	122678	520	192	0
SRR4448402	2631658	100608	34	52	0
SRR4448403	2286020	107088	596	356	0
SRR4448404	2991074	147752	736	78	0
SRR4448405	1006564	39072	74	2	0
SRR4448406	2545504	89508	178	20	0
SRR4448407	2273204	94412	416	92	0
SRR4448408	5064130	248822	1224	76	0
SRR4448409	6931530	604198	548	364	0
SRR4448410	1483846	55464	94	80	0
SRR4448411	1486482	51044	102	206	0
SRR4448412	1616116	64092	80	42	0
SRR4448413	2385668	90796	38	110	0
SRR4448414	1845444	67910	88	6	0
SRR4448415	1695790	61662	100	112	0
SRR4448416	1536032	72678	804	86	0
SRR4448417	2319896	102780	620	444	0
SRR4448418	2011112	70266	132	2328	0
SRR4448419	1192952	49370	18	334	0
SRR4448420	2858776	128868	152	12	0
SRR4448421	1899706	72016	360	104	0
SRR4448422	1670788	75314	908	1726	0
SRR4448423	1186024	43894	226	338	0
SRR4448424	3054060	128454	60	12	0
SRR4448425	1237434	64088	298	24	0
SRR4448426	2881240	136790	706	98	0
SRR4448427	1723128	70696	24	94	0
SRR4448428	2276884	90858	108	100	0
SRR4448429	1421864	56406	114	18	0
SRR4448430	3625342	158724	1972	1630	0
SRR4448431	1788602	68506	108	450	0
SRR4448432	2462912	97352	122	152	0
SRR4448433	1875560	79954	82	372	0
SRR4448434	2259066	87878	36	14	0
SRR4448435	5873294	434208	462	52	0
SRR4448436	2399070	125654	558	44	0
SRR4448437	4828742	399224	388	374	0
SRR4448438	3157694	146174	1648	736	0
SRR4448439	5051094	367764	466	3926	0
SRR4448440	2195556	87510	148	20	0
SRR4448441	3826426	165692	2126	202	0
SRR4448442	3794446	144288	70	3356	0
SRR4448443	1601658	69854	108	44	0
SRR4448444	2958978	123072	196	26	0
SRR4448445	2398726	93374	128	174	0
SRR4448446	2820710	137560	670	78	0
SRR4448447	1185338	42504	14	1160	0
SRR4448448	2097792	99068	1130	706	0
SRR4448449	5540546	231918	1346	312	0
SRR4448450	7475806	583990	712	90	0
SRR4448451	2354528	87276	32	24	0
SRR4448452	1972606	82624	462	2814	0
SRR4448453	2184188	85960	32	156	0
SRR4448454	3747466	159366	184	1768	0
SRR4448455	1333132	59748	310	6	0
SRR4448456	3653780	171432	1918	248	0
SRR4448457	1720020	59124	296	636	0
SRR4448458	3255476	125498	624	492	0
SRR4448459	676058	22604	10	234	0
SRR4448460	1431346	65440	680	268	0
SRR4448461	2695944	117882	46	58	0
SRR4448462	5333488	453126	372	878	0
SRR4448463	2228508	98738	38	76	0
SRR4448464	1980864	90610	1062	1638	0
SRR4448465	2589830	111554	120	578	0
SRR4448466	2589306	101322	174	54	0
SRR4448467	6975638	573954	564	1180	0
SRR4448468	2235750	89286	164	20	0
SRR4448469	1708106	77614	100	16	0
SRR4448470	1468656	72200	378	102	0
SRR4448471	4075616	158380	68	290	0
SRR4448472	2330952	94566	44	44	0
SRR4448473	1736350	91102	428	26	0
SRR4448474	1445200	68632	104	36	0
SRR4448475	8325336	757568	716	178	0
SRR4448476	2629136	116858	464	52	0
SRR4448477	590078	20800	0	992	0
SRR4448478	1350498	48750	238	846	0
SRR4448479	2851836	129386	1596	186	0
SRR4448480	2026710	93162	1122	1794	0
SRR4448481	1216652	50740	34	74	0
SRR4448482	1485322	77690	366	46	0
SRR4448483	2190542	113552	556	58	0
SRR4448484	2792596	130834	136	34	0
SRR4448485	2482432	122606	614	236	0
SRR4448486	2091820	88486	1110	476	0
SRR4448487	3109258	141884	732	272	0
SRR4448488	2750588	113056	186	0	0
SRR4448489	3926752	195140	970	548	0
SRR4448490	1759894	67644	112	254	0
SRR4448491	2255566	96556	450	132	0
SRR4448492	2899008	104680	46	472	0
SRR4448493	2065188	75226	126	22	0
SRR4448494	669246	28122	366	48	0
SRR4448495	1954278	83320	84	724	0
SRR4448496	2056994	91806	502	5654	0
SRR4448497	2334920	88180	44	82	0
SRR4448498	4918858	219726	1258	94	0
SRR4448499	1995440	71930	380	772	0
SRR4448500	1666818	55770	344	1050	0
SRR4448501	1394668	50916	258	294	0
SRR4448502	1974288	74182	384	2018	0
SRR4448503	3440162	146788	1918	2006	0
SRR4448504	3145014	134106	50	790	0
SRR4448505	1290416	40904	98	154	0
SRR4448506	2081078	75874	434	120	0
SRR4448507	1786892	77700	280	84	0
