sid	passed_filter_reads	low_quality_reads	too_many_N_reads	too_short_reads	too_long_reads
SRR4450131	3371684	154002	114	0	0
SRR4450132	4950242	204506	92	0	0
SRR4450133	3983000	175196	68	0	0
SRR4450134	5346736	233516	96	0	0
SRR4450135	4247510	215164	2788	0	0
SRR4450136	4060226	192108	42	0	0
SRR4450137	4801148	244334	82	0	0
SRR4450138	175398	9482	202	0	0
SRR4450139	5076828	230060	78	0	0
SRR4450140	1168576	62158	130	0	0
SRR4450141	234262	12020	384	0	0
SRR4450142	667816	35416	252	0	0
SRR4450143	4685140	206414	300	0	0
SRR4450144	5136654	231994	172	0	0
SRR4450145	4993512	225682	118	0	0
SRR4450146	3145178	140866	1848	0	0
SRR4450147	2844502	113406	170	0	0
SRR4450148	2433346	106266	140	0	0
SRR4450149	3069484	140388	208	0	0
SRR4450150	3037330	139580	296	0	0
SRR4450151	3872500	154980	142	0	0
SRR4450152	3036528	132400	46	0	0
SRR4450153	3821556	166802	212	0	0
SRR4450154	3330382	154224	60	0	0
SRR4450155	3481518	149942	62	0	0
SRR4450156	3433384	157388	142	0	0
SRR4450157	3313278	143938	270	0	0
SRR4450158	3763522	172048	82	0	0
SRR4450159	4276696	178732	248	0	0
SRR4451087	3756356	163932	68	174	0
SRR4451088	3350842	175060	804	58	0
SRR4451089	1709234	65146	344	194	0
SRR4451090	1558968	67472	76	524	0
SRR4451091	1424664	56670	84	38	0
SRR4451092	1867686	62744	108	16	0
SRR4451093	2723988	112318	496	146	0
SRR4451094	3155066	153284	802	430	0
SRR4451095	7943334	664300	666	128	0
SRR4451096	1788960	65910	358	272	0
SRR4451097	2312010	96872	34	4234	0
SRR4451098	4350390	205384	2292	378	0
SRR4451099	1565314	66762	86	680	0
SRR4451100	2107698	71452	146	2	0
SRR4451101	1765570	77340	34	48	0
SRR4451102	1916166	77290	32	188	0
SRR4451103	3741250	159460	232	174	0
SRR4451104	1115428	39154	66	492	0
SRR4451105	2004684	70598	30	36	0
SRR4451106	2111764	73804	148	48	0
SRR4451107	2632260	116186	1352	202	0
SRR4451108	2214376	110154	500	76	0
SRR4451109	2324378	88512	478	978	0
SRR4451110	2471948	101824	108	518	0
SRR4451111	2663498	109592	164	10	0
SRR4451112	1673816	57610	118	28	0
SRR4451113	1865148	69674	344	484	0
SRR4451114	2916026	119424	60	40	0
SRR4451115	2005430	79190	140	6	0
SRR4451116	1991824	76104	152	180	0
SRR4451117	6976926	580282	584	1652	0
SRR4451118	1410624	62484	62	456	0
SRR4451119	1503122	60302	18	46	0
SRR4451120	2454974	95606	150	18	0
SRR4451121	1832478	75766	70	278	0
SRR4451122	2849706	129478	1522	158	0
SRR4451123	2578068	93274	208	22	0
SRR4451124	7084818	281992	1700	2422	0
SRR4451125	4755550	147238	68	78	0
SRR4451126	4325366	173886	2338	566	0
SRR4451127	2011192	85802	84	18	0
SRR4451128	2241116	83596	36	474	0
SRR4451129	2059016	86214	30	90	0
SRR4451130	2383650	100544	1304	122	0
SRR4451131	3438620	172348	842	62	0
SRR4451132	2217460	92738	46	288	0
SRR4451133	1075106	47676	234	754	0
SRR4451134	1894214	85918	958	100	0
SRR4451135	1372170	61832	262	626	0
SRR4451136	4901564	236900	1188	42	0
SRR4451137	1927262	74278	124	2	0
SRR4451138	1596980	63722	116	8	0
SRR4451139	1571734	54630	88	36	0
SRR4451140	2081766	85150	98	48	0
SRR4451141	2409292	113540	1304	202	0
SRR4451142	1811418	82712	88	182	0
SRR4451143	4167610	164778	70	408	0
SRR4451144	2351514	79926	170	6	0
SRR4451145	1072672	45244	8	1232	0
SRR4451146	1913588	77118	22	228	0
SRR4451147	5202270	417852	446	808	0
SRR4451148	1910098	79596	134	4	0
SRR4451149	7034220	597174	622	86	0
SRR4451150	6976674	581820	622	7322	0
SRR4451151	2097826	77566	48	158	0
SRR4451152	3413022	143260	162	452	0
SRR4451153	4303226	212342	1006	54	0
SRR4451154	6827240	553608	492	68	0
SRR4451155	2370430	101314	146	8	0
SRR4451156	2063938	87128	114	28	0
SRR4451157	457714	25746	2	281294	0
SRR4451158	2078148	88290	1216	424	0
SRR4451159	1526910	64170	272	52	0
SRR4451160	2861338	121238	1514	818	0
SRR4451161	4459016	224980	1102	52	0
SRR4451162	2119596	108328	28	24	0
SRR4451163	849898	37198	178	322	0
SRR4451164	5046360	239540	1168	314	0
SRR4451165	1271720	55460	68	104	0
SRR4451166	2185482	80868	412	296	0
SRR4451167	1669482	74276	906	52	0
SRR4451168	9163970	809364	828	94	0
SRR4451169	2164560	102902	1188	102	0
SRR4451170	2525722	108816	124	14	0
SRR4451171	1246432	50280	30	5276	0
SRR4451172	1305098	50556	50	60	0
SRR4451173	2056806	81114	102	226	0
SRR4451174	2158900	95050	102	12	0
SRR4451175	3686872	152276	80	400	0
SRR4451176	1782104	90308	430	42	0
SRR4451177	3817940	150726	202	92	0
SRR4451178	1649938	66586	848	402	0
SRR4451179	3568584	135442	74	172	0
SRR4451180	1993040	62490	140	326	0
SRR4451181	4277116	195804	1128	158	0
SRR4451182	7004892	599538	588	170	0
SRR4451183	1502954	62836	18	34	0
SRR4451184	1744002	77574	888	2498	0
SRR4451185	3013508	116156	562	386	0
SRR4451186	2687470	125976	144	28	0
SRR4451187	892312	36510	12	28	0
SRR4451188	1705838	69748	314	220	0
SRR4451189	7362150	597848	584	1956	0
SRR4451190	1480986	49570	116	266	0
SRR4451191	2447994	94220	486	324	0
SRR4451192	6527792	496006	496	2082	0
SRR4451193	1427940	49746	86	1100	0
SRR4451194	3022246	156450	772	92	0
SRR4451195	1619998	64006	126	40	0
SRR4451196	2558396	112062	32	300	0
SRR4451197	2898390	133956	1494	30	0
SRR4451198	2518522	87374	490	102	0
SRR4451199	3924998	182038	966	358	0
SRR4451200	1652618	70336	88	140	0
SRR4451201	4071726	187638	934	346	0
SRR4451202	7043696	577562	600	74	0
SRR4451203	3144380	132944	118	1616	0
SRR4451204	1783780	80532	950	140	0
SRR4451205	1873556	96268	480	58	0
SRR4451206	6657778	539590	538	140	0
SRR4451207	1512220	63402	292	258	0
SRR4451208	2406334	113724	508	480	0
SRR4451209	2300382	85460	150	282	0
SRR4451210	1685784	67134	98	10	0
SRR4451211	3047952	135914	56	12484	0
SRR4451212	1665886	77254	932	196	0
SRR4451213	2951818	121052	178	6	0
SRR4451214	864502	37824	14	12	0
SRR4451215	3218966	126342	600	222	0
SRR4451216	3872524	183832	958	34	0
SRR4451217	5480210	422474	492	3014	0
SRR4451218	1028728	38686	180	50	0
SRR4451219	1666248	63504	112	296	0
SRR4451220	2557110	102834	112	8	0
SRR4451221	1839584	81846	36	186	0
SRR4451222	1682432	69522	116	428	0
