sid	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap
SRR4448195	1386578	0	1303849	43150	14085	1864	10975	99	49	6	15	35254	0	0	0	0	0	0	0	0
SRR4448196	1567430	0	1473237	40640	13772	1934	10156	105	58	15	29	46782	0	0	0	0	0	0	0	0
SRR4448197	471477	0	433335	23560	7841	1035	5731	64	32	8	15	12327	0	0	0	0	0	0	0	0
SRR4448198	2064921	0	1946464	53419	16739	2232	13180	108	61	10	15	55140	0	0	0	0	0	0	0	0
SRR4448199	849073	0	793548	28658	12315	1638	6458	73	50	12	16	23923	0	0	0	0	0	0	0	0
SRR4448200	1147630	0	1075743	42619	13317	1820	10952	100	46	8	19	25409	0	0	0	0	0	0	0	0
SRR4448201	1322182	0	1241218	37748	14342	1849	8783	106	65	7	14	37126	0	0	0	0	0	0	0	0
SRR4448202	928383	0	867743	29469	12786	1777	6809	72	45	7	11	26333	0	0	0	0	0	0	0	0
SRR4448203	558391	0	512895	26215	10103	1315	6127	62	37	5	13	16670	0	0	0	0	0	0	0	0
SRR4448204	1330541	0	1250003	40748	14654	2031	10204	120	70	7	16	33136	0	0	0	0	0	0	0	0
SRR4448205	1408835	0	1322039	50699	12941	1655	13385	112	61	11	22	30701	0	0	0	0	0	0	0	0
SRR4448206	2553371	0	2415709	60897	15351	2044	15002	107	54	11	19	65702	0	0	0	0	0	0	0	0
SRR4448207	2360807	0	2236767	57544	18254	2275	13889	170	72	17	43	55882	0	0	0	0	0	0	0	0
SRR4448208	3601284	0	3400195	81832	21187	2743	17681	305	131	23	55	101721	0	0	0	0	0	0	0	0
SRR4448209	1457095	0	1377796	40713	13871	1971	10632	75	52	9	13	34862	0	0	0	0	0	0	0	0
SRR4448210	1871803	0	1763331	47300	15494	2037	11797	97	54	9	25	52799	0	0	0	0	0	0	0	0
SRR4448211	662269	0	616250	23920	9754	1480	5754	86	55	23	39	18389	0	0	0	0	0	0	0	0
SRR4448212	6137128	0	5614226	154475	18678	2495	46296	457	166	107	275	351507	0	0	0	0	0	0	0	0
SRR4448213	558813	0	515637	27853	10428	1488	6667	78	44	5	15	13680	0	0	0	0	0	0	0	0
SRR4448214	736164	0	679108	33119	11326	1518	8154	81	49	7	12	20871	0	0	0	0	0	0	0	0
SRR4448215	932532	0	872900	30144	11924	1732	7379	69	33	3	13	25911	0	0	0	0	0	0	0	0
SRR4448216	557760	0	518048	25515	9954	1471	6407	63	24	3	15	12479	0	0	0	0	0	0	0	0
SRR4448217	1508729	0	1416340	42933	15841	2005	9736	133	68	12	30	41665	0	0	0	0	0	0	0	0
SRR4448218	3437342	0	3204191	95394	20785	2975	21987	432	202	107	227	121971	0	0	0	0	0	0	0	0
SRR4448219	742696	0	689996	29152	11176	1482	6750	71	37	6	14	20953	0	0	0	0	0	0	0	0
SRR4448220	3447785	0	3233783	99889	21669	2869	22475	419	161	43	141	97766	0	0	0	0	0	0	0	0
SRR4448221	840109	0	779957	34998	10904	1498	8418	61	34	6	9	22879	0	0	0	0	0	0	0	0
SRR4448222	1378727	0	1300027	39333	14145	1874	9221	83	44	8	14	34717	0	0	0	0	0	0	0	0
SRR4448223	1370098	0	1275489	46417	15278	2019	11418	121	53	12	29	43182	0	0	0	0	0	0	0	0
SRR4448224	1029765	0	958215	33843	12810	1776	8150	92	45	6	19	33745	0	0	0	0	0	0	0	0
SRR4448225	1288960	0	1209253	39328	12475	1664	9976	91	49	5	12	34418	0	0	0	0	0	0	0	0
SRR4448226	804129	0	748294	31262	11139	1642	8088	77	50	10	15	21064	0	0	0	0	0	0	0	0
SRR4448227	876499	0	816913	28256	10883	1498	6933	82	41	7	23	27279	0	0	0	0	0	0	0	0
SRR4448228	783890	0	732329	29335	11156	1505	7159	59	35	7	12	19438	0	0	0	0	0	0	0	0
SRR4448229	852734	0	795339	31263	11419	1574	7876	73	43	8	14	22253	0	0	0	0	0	0	0	0
SRR4448230	604790	0	557235	30944	10212	1472	7417	76	43	12	16	14303	0	0	0	0	0	0	0	0
SRR4448231	1847930	0	1738023	59089	15834	2112	16077	120	57	9	21	44126	0	0	0	0	0	0	0	0
SRR4448232	1541253	0	1447873	43025	15724	2120	10282	130	77	16	26	42391	0	0	0	0	0	0	0	0
SRR4448233	1112452	0	1033501	37507	13503	1810	8724	87	52	8	18	35891	0	0	0	0	0	0	0	0
SRR4448234	674083	0	629098	25809	10589	1502	6193	61	35	6	8	16755	0	0	0	0	0	0	0	0
SRR4448235	3884730	0	3625851	131578	20428	2718	29154	359	129	45	119	111220	0	0	0	0	0	0	0	0
SRR4448236	1368628	0	1278033	41341	14800	1994	9906	99	63	9	16	43194	0	0	0	0	0	0	0	0
SRR4448237	2086269	0	1968092	52485	15605	2125	13607	110	61	7	20	55187	0	0	0	0	0	0	0	0
SRR4448238	1195217	0	1120701	36891	14286	1890	8317	98	48	7	20	32503	0	0	0	0	0	0	0	0
SRR4448239	1501925	0	1413572	43045	15176	2026	10475	121	60	8	22	40050	0	0	0	0	0	0	0	0
SRR4448240	887359	0	825293	33474	12062	1477	8146	75	48	7	13	24781	0	0	0	0	0	0	0	0
SRR4448241	1119999	0	1055635	29184	11401	1707	7364	78	44	6	18	30641	0	0	0	0	0	0	0	0
SRR4448242	2758956	0	2611220	58077	17477	2326	15057	108	57	13	26	78929	0	0	0	0	0	0	0	0
SRR4448243	2101004	0	1967144	61516	14899	2018	15208	118	59	15	30	64567	0	0	0	0	0	0	0	0
SRR4448244	1212285	0	1135895	37711	13209	1757	8990	89	42	10	21	34238	0	0	0	0	0	0	0	0
SRR4448245	827656	0	770035	28888	11233	1637	7268	68	43	6	8	24959	0	0	0	0	0	0	0	0
SRR4448246	793763	0	740318	28625	11199	1554	6852	67	29	4	13	21943	0	0	0	0	0	0	0	0
SRR4448247	809581	0	753959	32226	12207	1704	7831	77	39	6	18	21293	0	0	0	0	0	0	0	0
SRR4448248	878917	0	819970	29049	10693	1501	7319	72	38	3	14	26045	0	0	0	0	0	0	0	0
SRR4448249	1494846	0	1405005	40552	12551	1722	10885	91	58	11	21	43760	0	0	0	0	0	0	0	0
SRR4448250	976832	0	916238	35152	12108	1761	9393	68	32	4	10	22354	0	0	0	0	0	0	0	0
SRR4448251	1352117	0	1268543	38867	14057	1843	9375	91	46	2	19	38893	0	0	0	0	0	0	0	0
SRR4448252	735921	0	687646	28734	11771	1599	6845	83	37	4	15	16595	0	0	0	0	0	0	0	0
SRR4448253	1022162	0	954441	35410	13206	1779	8461	90	55	9	17	27613	0	0	0	0	0	0	0	0
SRR4448254	1368478	0	1286494	39986	12854	1679	10163	112	52	6	18	36932	0	0	0	0	0	0	0	0
SRR4448255	1131217	0	1062116	32092	12244	1680	7852	89	55	10	13	31375	0	0	0	0	0	0	0	0
SRR4448256	1033894	0	962339	31575	12344	1688	7470	90	50	8	13	35141	0	0	0	0	0	0	0	0
SRR4448257	1653032	0	1565204	46266	15492	2183	11783	108	57	8	21	36656	0	0	0	0	0	0	0	0
SRR4448258	1295377	0	1218034	42059	13097	1792	10790	97	53	5	14	29559	0	0	0	0	0	0	0	0
SRR4448259	1876870	0	1768509	44807	15440	2161	10901	104	45	7	19	55011	0	0	0	0	0	0	0	0
SRR4448260	2320213	0	2195416	50861	16704	2278	12960	127	64	14	35	64234	0	0	0	0	0	0	0	0
SRR4448261	888518	0	828370	31253	12219	1590	7406	82	34	7	24	25767	0	0	0	0	0	0	0	0
SRR4448262	1026410	0	958321	31833	12089	1724	7924	87	46	3	11	30605	0	0	0	0	0	0	0	0
SRR4448263	870735	0	812765	34936	12976	1794	8411	89	42	7	13	18860	0	0	0	0	0	0	0	0
SRR4448264	551287	0	510552	22567	9897	1475	5394	73	41	8	10	15565	0	0	0	0	0	0	0	0
SRR4448265	1299017	0	1224243	36217	14406	1962	8507	111	61	6	13	33138	0	0	0	0	0	0	0	0
SRR4448266	662887	0	611314	28553	11098	1368	6442	76	46	9	12	20015	0	0	0	0	0	0	0	0
SRR4448267	858836	0	800662	29350	10517	1484	7443	84	47	6	14	24858	0	0	0	0	0	0	0	0
SRR4448268	999204	0	934458	35458	12794	1656	8488	90	47	10	20	25518	0	0	0	0	0	0	0	0
SRR4448269	1482811	0	1398094	44148	15113	2074	11034	91	56	9	18	35796	0	0	0	0	0	0	0	0
SRR4448270	971845	0	905620	31843	11341	1629	7779	112	56	23	41	29081	0	0	0	0	0	0	0	0
SRR4448271	1016701	0	949691	35641	13037	1695	8524	108	60	11	27	26966	0	0	0	0	0	0	0	0
SRR4448272	3648338	0	3449318	80810	18225	2228	18533	293	96	17	65	101088	0	0	0	0	0	0	0	0
SRR4448273	3252914	0	3068714	80508	19266	2492	18379	221	89	14	40	91568	0	0	0	0	0	0	0	0
SRR4448274	1046104	0	980113	33558	12183	1670	8073	94	55	9	22	28469	0	0	0	0	0	0	0	0
SRR4448275	809033	0	754082	31297	10788	1463	7295	69	44	5	8	19735	0	0	0	0	0	0	0	0
SRR4448276	1034382	0	967286	37726	12799	1745	9798	106	50	10	18	24911	0	0	0	0	0	0	0	0
SRR4448277	924488	0	860142	35777	10902	1467	9590	74	41	6	13	25112	0	0	0	0	0	0	0	0
SRR4448278	1071990	0	1003298	39177	12986	1855	9245	88	44	3	10	24102	0	0	0	0	0	0	0	0
SRR4448279	3737756	0	3515663	95311	20487	2707	20041	292	99	18	63	106782	0	0	0	0	0	0	0	0
SRR4448280	1879505	0	1769546	49360	16133	2184	12413	113	63	9	24	52218	0	0	0	0	0	0	0	0
SRR4448281	909956	0	852936	29398	12238	1745	6981	79	39	9	18	24348	0	0	0	0	0	0	0	0
SRR4448282	1127707	0	1058606	31404	11978	1749	7930	78	38	4	11	33339	0	0	0	0	0	0	0	0
SRR4448283	1088852	0	1022323	33683	12728	1798	8348	72	44	7	15	28354	0	0	0	0	0	0	0	0
SRR4448284	965315	0	901034	30680	11918	1785	7738	66	41	7	14	29300	0	0	0	0	0	0	0	0
SRR4448285	628910	0	580956	28526	10758	1487	7108	78	45	10	17	16654	0	0	0	0	0	0	0	0
SRR4448286	1062895	0	982632	51058	11127	1482	12629	86	40	8	16	24524	0	0	0	0	0	0	0	0
SRR4448287	1196144	0	1123022	35585	12663	1832	8986	81	42	5	12	32754	0	0	0	0	0	0	0	0
SRR4448288	807562	0	751811	29532	11165	1497	7336	75	39	8	14	22633	0	0	0	0	0	0	0	0
SRR4448289	950902	0	891539	30626	12467	1649	7031	90	43	8	16	24157	0	0	0	0	0	0	0	0
SRR4448290	820136	0	763877	31915	11754	1551	7563	69	39	5	16	21029	0	0	0	0	0	0	0	0
SRR4448291	2455424	0	2302016	64004	16198	2270	13912	248	100	24	70	76845	0	0	0	0	0	0	0	0
SRR4448292	923273	0	861866	32023	11366	1581	7931	67	44	10	17	26260	0	0	0	0	0	0	0	0
SRR4448293	1201717	0	1120074	40548	14287	1936	9707	93	50	7	19	36720	0	0	0	0	0	0	0	0
SRR4448294	3238770	0	3040765	54675	15486	2314	12677	321	128	53	128	125925	0	0	0	0	0	0	0	0
SRR4448295	1079792	0	1012329	31484	11442	1658	7788	84	47	7	15	29999	0	0	0	0	0	0	0	0
SRR4448296	880568	0	818830	36113	11986	1497	8771	87	52	7	15	21348	0	0	0	0	0	0	0	0
SRR4448297	662651	0	616641	26197	9686	1423	6806	73	34	3	10	17597	0	0	0	0	0	0	0	0
SRR4448298	2132182	0	2012930	59078	16816	2233	15342	126	69	16	31	53330	0	0	0	0	0	0	0	0
SRR4448299	2339122	0	2204449	52514	17604	2377	12971	133	66	10	33	70970	0	0	0	0	0	0	0	0
SRR4448300	1413248	0	1327774	40344	15121	1976	9351	95	50	10	22	38533	0	0	0	0	0	0	0	0
SRR4448301	764932	0	716315	27744	11115	1534	6821	62	37	7	16	19234	0	0	0	0	0	0	0	0
SRR4448302	3383527	0	3175478	94652	20699	2833	22205	280	108	21	64	97625	0	0	0	0	0	0	0	0
SRR4448303	668569	0	623150	26077	11095	1521	6287	81	38	8	18	16329	0	0	0	0	0	0	0	0
SRR4448304	666029	0	622448	23532	11083	1529	5143	86	51	6	15	17159	0	0	0	0	0	0	0	0
SRR4448305	1367762	0	1288544	34917	13215	1900	8529	81	52	12	16	38606	0	0	0	0	0	0	0	0
SRR4448306	651471	0	605444	27051	11007	1613	6715	67	42	6	13	16335	0	0	0	0	0	0	0	0
SRR4448307	1008281	0	943254	34804	12771	1734	8517	97	63	20	28	26963	0	0	0	0	0	0	0	0
SRR4448308	654075	0	603409	29731	10796	1437	7203	67	35	5	14	17754	0	0	0	0	0	0	0	0
SRR4448309	985092	0	920372	33700	12395	1568	7986	92	51	13	21	26961	0	0	0	0	0	0	0	0
SRR4448310	548747	0	508443	25304	9952	1310	5764	77	39	10	26	13057	0	0	0	0	0	0	0	0
SRR4448311	1198097	0	1120785	41354	13984	1810	10155	93	49	7	19	31436	0	0	0	0	0	0	0	0
SRR4448312	1234197	0	1156425	40537	14350	1914	9719	88	46	7	17	32553	0	0	0	0	0	0	0	0
SRR4448313	706742	0	656316	24892	9688	1389	5918	80	49	12	24	21560	0	0	0	0	0	0	0	0
SRR4448314	1532594	0	1440102	43306	14379	2009	11046	118	67	11	28	43163	0	0	0	0	0	0	0	0
SRR4448315	1508113	0	1415127	42231	14867	1996	10451	98	52	6	15	43821	0	0	0	0	0	0	0	0
SRR4448316	1177153	0	1103289	33472	12720	1709	8087	67	38	8	11	36160	0	0	0	0	0	0	0	0
SRR4448317	852766	0	793585	32077	11946	1595	7669	76	51	14	17	24485	0	0	0	0	0	0	0	0
SRR4448318	3990824	0	3748916	109358	21116	2681	22855	276	103	16	49	111497	0	0	0	0	0	0	0	0
SRR4448319	720188	0	672977	25216	10871	1532	6154	82	44	7	17	19144	0	0	0	0	0	0	0	0
SRR4448320	1496368	0	1410029	42787	14953	2009	10402	105	52	7	16	36338	0	0	0	0	0	0	0	0
SRR4448321	1615961	0	1524549	47445	15699	2069	11757	91	59	10	15	37867	0	0	0	0	0	0	0	0
SRR4448324	570067	0	524906	31485	7724	987	8643	54	30	4	11	11950	0	0	0	0	0	0	0	0
SRR4448325	1980963	0	1865217	46501	16629	2238	11248	117	71	11	23	60080	0	0	0	0	0	0	0	0
SRR4448326	721214	0	669927	28882	11309	1538	6896	78	50	3	9	18652	0	0	0	0	0	0	0	0
SRR4448327	944451	0	884564	31631	12917	1687	7383	78	41	6	13	24750	0	0	0	0	0	0	0	0
SRR4448328	573956	0	528265	27264	10064	1397	6733	67	36	7	15	15906	0	0	0	0	0	0	0	0
SRR4448329	3530952	0	3324692	101254	21412	2700	21744	266	116	27	69	91791	0	0	0	0	0	0	0	0
SRR4448330	504874	0	469242	21630	9551	1398	5146	64	42	15	19	12437	0	0	0	0	0	0	0	0
SRR4448331	602484	0	557856	25242	10923	1448	5686	74	35	3	14	16758	0	0	0	0	0	0	0	0
SRR4448332	1076576	0	1009662	32228	12349	1744	7874	74	41	12	25	30545	0	0	0	0	0	0	0	0
SRR4448333	3584412	0	3236239	113487	20577	4077	28557	1062	505	400	763	215996	0	0	0	0	0	0	0	0
SRR4448334	1440698	0	1355682	44906	15249	2027	11392	116	64	7	18	34109	0	0	0	0	0	0	0	0
SRR4448335	544243	0	505115	23556	9703	1348	5640	71	50	7	11	13426	0	0	0	0	0	0	0	0
SRR4448336	713229	0	664463	27810	11801	1586	6202	82	44	9	14	18094	0	0	0	0	0	0	0	0
SRR4448337	2469462	0	2325324	56771	16469	2243	15066	121	53	11	28	76322	0	0	0	0	0	0	0	0
SRR4448338	485664	0	447240	25752	9123	1326	6335	57	33	5	6	10455	0	0	0	0	0	0	0	0
SRR4448339	1291331	0	1210222	38991	13453	1927	10109	88	51	11	24	36876	0	0	0	0	0	0	0	0
SRR4448340	1648637	0	1542973	41064	14421	2056	10357	112	69	14	23	55233	0	0	0	0	0	0	0	0
SRR4448341	1569301	0	1473513	43949	15119	2156	11228	117	67	9	26	44075	0	0	0	0	0	0	0	0
SRR4448342	1648786	0	1556463	41654	14931	2030	10162	119	60	8	25	44166	0	0	0	0	0	0	0	0
SRR4448343	1092868	0	1022410	34395	11752	1551	8600	98	45	7	11	31397	0	0	0	0	0	0	0	0
SRR4448344	1020529	0	956882	35204	12469	1676	8731	85	55	8	15	24549	0	0	0	0	0	0	0	0
SRR4448345	1036161	0	969577	35656	12108	1620	8939	85	55	5	15	25829	0	0	0	0	0	0	0	0
SRR4448346	980443	0	912643	38521	11159	1506	10065	68	41	9	15	25634	0	0	0	0	0	0	0	0
SRR4448347	502735	0	462026	25928	10273	1408	6032	77	44	7	16	12829	0	0	0	0	0	0	0	0
SRR4448348	569315	0	527893	22993	8902	1345	5497	63	40	8	11	16321	0	0	0	0	0	0	0	0
SRR4448349	1345510	0	1259133	46797	15194	2201	11898	192	90	31	55	33932	0	0	0	0	0	0	0	0
SRR4448350	2046526	0	1920784	52434	16648	2173	12936	117	63	6	19	63927	0	0	0	0	0	0	0	0
SRR4448351	1474247	0	1387029	39804	15327	1989	9659	142	87	15	29	39826	0	0	0	0	0	0	0	0
SRR4448352	1069832	0	998718	40175	14096	1958	9765	104	54	11	20	27963	0	0	0	0	0	0	0	0
SRR4448353	754313	0	703909	29268	11513	1549	7158	78	53	6	10	18685	0	0	0	0	0	0	0	0
SRR4448354	768524	0	714027	28313	11470	1591	6831	86	58	10	15	22457	0	0	0	0	0	0	0	0
SRR4448355	782828	0	727262	35729	11616	1571	8530	70	38	8	13	17293	0	0	0	0	0	0	0	0
SRR4448356	1395565	0	1311408	49267	14367	2077	12124	88	38	4	14	30564	0	0	0	0	0	0	0	0
SRR4448357	3643429	0	3423794	82443	21836	3707	19121	655	364	279	460	122904	0	0	0	0	0	0	0	0
SRR4448358	644872	0	597782	24306	9453	1331	5976	58	44	8	9	20494	0	0	0	0	0	0	0	0
SRR4448359	328976	0	300038	18811	8287	1252	4538	66	38	8	15	8760	0	0	0	0	0	0	0	0
SRR4448360	1409206	0	1321471	42032	15011	1955	9921	102	55	11	25	38800	0	0	0	0	0	0	0	0
SRR4448361	2828634	0	2656257	79656	18680	2379	17320	225	97	19	41	80819	0	0	0	0	0	0	0	0
SRR4448362	597038	0	556129	21671	9317	1270	5165	76	48	6	15	15695	0	0	0	0	0	0	0	0
SRR4448363	1508759	0	1415810	47430	15641	2145	11864	115	54	6	28	38491	0	0	0	0	0	0	0	0
SRR4448364	1129446	0	1058867	30691	11648	1684	7625	84	53	11	14	34430	0	0	0	0	0	0	0	0
SRR4448365	678027	0	631159	25515	10628	1535	6222	68	41	6	12	18700	0	0	0	0	0	0	0	0
SRR4448366	1257005	0	1190018	27855	14021	2188	6202	67	44	7	10	32825	0	0	0	0	0	0	0	0
SRR4448367	1568444	0	1467943	44402	14589	1953	11082	100	54	6	17	49252	0	0	0	0	0	0	0	0
SRR4448368	528293	0	491924	21755	9629	1308	5081	48	29	4	12	12457	0	0	0	0	0	0	0	0
SRR4448369	1288434	0	1205968	42605	13895	2376	11419	267	151	108	178	34057	0	0	0	0	0	0	0	0
SRR4448370	1047319	0	983182	36008	12403	1695	9232	81	41	11	21	24393	0	0	0	0	0	0	0	0
SRR4448371	1090734	0	1022944	35273	12603	1688	8682	82	39	5	17	28883	0	0	0	0	0	0	0	0
SRR4448372	1009732	0	935970	41450	11495	1494	10853	94	49	8	19	28861	0	0	0	0	0	0	0	0
SRR4448373	1056469	0	987009	34464	13011	1715	8078	86	54	11	16	30221	0	0	0	0	0	0	0	0
SRR4448374	676811	0	624857	29087	9673	1346	7407	50	34	3	3	19746	0	0	0	0	0	0	0	0
SRR4448375	643790	0	600602	25338	11055	1535	5820	69	40	6	9	14850	0	0	0	0	0	0	0	0
SRR4448376	916857	0	857452	28988	11791	1778	7200	78	35	6	15	27179	0	0	0	0	0	0	0	0
SRR4448377	565861	0	527527	21592	9369	1359	5166	63	37	8	17	14566	0	0	0	0	0	0	0	0
SRR4448378	3500453	0	3284830	106897	21473	2942	23324	323	146	60	130	95604	0	0	0	0	0	0	0	0
SRR4448379	673007	0	626009	25559	9730	1233	6137	70	44	6	10	18453	0	0	0	0	0	0	0	0
SRR4448380	1825906	0	1712038	44924	15694	2173	10921	114	55	8	20	60722	0	0	0	0	0	0	0	0
SRR4448381	518485	0	480083	21382	8722	1223	5097	63	39	7	14	14436	0	0	0	0	0	0	0	0
SRR4448382	1061473	0	977640	49044	9454	1348	13679	131	66	43	83	32427	0	0	0	0	0	0	0	0
SRR4448383	1020568	0	952467	29725	11257	1588	7310	83	54	11	16	34418	0	0	0	0	0	0	0	0
SRR4448384	608567	0	565894	23536	10164	1522	5630	64	38	5	11	17037	0	0	0	0	0	0	0	0
SRR4448385	1844287	0	1737164	50245	15199	2030	12414	98	53	12	27	48786	0	0	0	0	0	0	0	0
SRR4448386	1237003	0	1158275	40608	13537	1835	10273	88	43	9	19	34177	0	0	0	0	0	0	0	0
SRR4448387	971985	0	908447	37633	13496	1793	8962	102	58	10	23	22492	0	0	0	0	0	0	0	0
SRR4448388	2058236	0	1936106	51872	16011	2195	13404	128	54	14	34	61194	0	0	0	0	0	0	0	0
SRR4448389	1726031	0	1616845	45910	13479	1796	11586	117	54	6	25	56797	0	0	0	0	0	0	0	0
SRR4448390	784313	0	723473	38275	14478	2169	9202	217	88	33	73	20127	0	0	0	0	0	0	0	0
SRR4448391	1363431	0	1282374	44674	15017	2079	11100	123	57	9	26	29882	0	0	0	0	0	0	0	0
SRR4448392	3490035	0	3269252	88530	20834	3005	20695	441	195	112	237	116119	0	0	0	0	0	0	0	0
SRR4448393	3628463	0	3409297	115502	22053	2897	25357	305	112	17	82	86908	0	0	0	0	0	0	0	0
SRR4448394	1565960	0	1467455	41540	14862	2042	10232	106	57	10	28	50402	0	0	0	0	0	0	0	0
SRR4448395	943416	0	880695	34944	12882	1697	8363	81	49	7	15	23637	0	0	0	0	0	0	0	0
SRR4448396	1148414	0	1080106	39680	13680	1768	9754	87	41	9	19	23760	0	0	0	0	0	0	0	0
SRR4448397	773897	0	722997	29695	11103	1590	7393	78	47	7	11	18415	0	0	0	0	0	0	0	0
SRR4448398	1389501	0	1300464	41607	15125	1994	9825	116	63	12	21	42101	0	0	0	0	0	0	0	0
SRR4448399	983091	0	919630	31954	13090	1781	7493	86	54	8	15	27269	0	0	0	0	0	0	0	0
SRR4448400	1180484	0	1100397	49300	11464	1551	13827	81	46	8	23	27496	0	0	0	0	0	0	0	0
SRR4448401	1501549	0	1406344	47857	15531	2014	11782	114	61	9	24	41164	0	0	0	0	0	0	0	0
SRR4448402	1315829	0	1233089	42606	12171	1672	11191	89	51	10	16	35548	0	0	0	0	0	0	0	0
SRR4448403	1143010	0	1071371	34452	12890	1812	8420	80	53	9	15	31972	0	0	0	0	0	0	0	0
SRR4448404	1495537	0	1403690	37924	14962	2085	8995	139	77	21	40	46286	0	0	0	0	0	0	0	0
SRR4448405	503282	0	461530	25976	9371	1380	6322	72	39	5	10	13147	0	0	0	0	0	0	0	0
SRR4448406	1272752	0	1195117	34449	12871	1840	8621	74	32	6	18	38615	0	0	0	0	0	0	0	0
SRR4448407	1136602	0	1067761	36414	13220	1806	8872	68	38	5	10	28104	0	0	0	0	0	0	0	0
SRR4448408	2532065	0	2395071	55504	17144	2350	13927	146	65	13	36	71721	0	0	0	0	0	0	0	0
SRR4448409	3465765	0	3242531	93011	22681	3466	21910	620	284	184	346	112565	0	0	0	0	0	0	0	0
SRR4448410	741923	0	691197	27496	10509	1479	6828	56	40	10	13	20759	0	0	0	0	0	0	0	0
SRR4448411	743241	0	689323	28281	10491	1435	6915	69	42	6	8	22347	0	0	0	0	0	0	0	0
SRR4448412	808058	0	755564	29297	11846	1639	6880	92	51	6	17	19290	0	0	0	0	0	0	0	0
SRR4448413	1192834	0	1114433	41873	12266	1693	10889	80	37	4	13	31899	0	0	0	0	0	0	0	0
SRR4448414	922722	0	862933	31719	11328	1529	7862	82	51	7	15	24732	0	0	0	0	0	0	0	0
SRR4448415	847895	0	792945	28059	11029	1503	6744	71	47	8	10	23506	0	0	0	0	0	0	0	0
SRR4448416	768016	0	714008	29702	11638	1562	7112	77	47	2	10	20924	0	0	0	0	0	0	0	0
SRR4448417	1159948	0	1090213	34611	13174	1876	8288	81	53	8	11	30247	0	0	0	0	0	0	0	0
SRR4448418	1005556	0	930782	33887	13797	2254	8521	241	136	80	129	37213	0	0	0	0	0	0	0	0
SRR4448419	596476	0	553847	23273	9779	1378	5588	69	40	7	14	16709	0	0	0	0	0	0	0	0
SRR4448420	1429388	0	1345291	42024	15258	1988	9973	90	54	5	11	36220	0	0	0	0	0	0	0	0
SRR4448421	949853	0	881538	37664	13022	1722	9180	94	51	12	21	26496	0	0	0	0	0	0	0	0
SRR4448422	835394	0	777258	31915	12068	1493	7406	97	53	4	13	22430	0	0	0	0	0	0	0	0
SRR4448423	593012	0	547261	28150	10654	1409	6612	64	35	7	12	15751	0	0	0	0	0	0	0	0
SRR4448424	1527030	0	1438698	42875	13866	1995	11048	86	53	8	15	38691	0	0	0	0	0	0	0	0
SRR4448425	618717	0	572342	25503	10403	1426	5869	65	39	6	12	17869	0	0	0	0	0	0	0	0
SRR4448426	1440620	0	1350734	48114	12100	1538	12489	91	39	5	17	36488	0	0	0	0	0	0	0	0
SRR4448427	861564	0	800559	38190	10254	1350	10172	82	43	8	20	20306	0	0	0	0	0	0	0	0
SRR4448428	1138442	0	1070046	35803	14021	1835	8298	100	61	11	21	27700	0	0	0	0	0	0	0	0
SRR4448429	710932	0	661397	26073	10177	1424	6315	69	46	8	16	20191	0	0	0	0	0	0	0	0
