sid	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap
SRR4448180	534333	0	496436	21081	9881	1423	4913	64	38	8	13	14312	0	0	0	0	0	0	0	0
SRR4448181	878194	0	821113	30682	11884	1779	7455	81	44	6	19	23030	0	0	0	0	0	0	0	0
SRR4448182	544941	0	505537	21864	9709	1394	5249	60	47	7	14	15166	0	0	0	0	0	0	0	0
SRR4448183	460139	0	426036	21056	8967	1277	5214	58	36	9	12	11325	0	0	0	0	0	0	0	0
SRR4448184	1230130	0	1149312	44311	14019	1812	11122	93	53	6	12	32726	0	0	0	0	0	0	0	0
SRR4448185	1112728	0	1037314	38368	13782	1727	8926	118	52	6	18	32915	0	0	0	0	0	0	0	0
SRR4448186	1369822	0	1280892	38033	13761	1795	8899	105	52	9	20	43688	0	0	0	0	0	0	0	0
SRR4448187	607751	0	562986	26970	9990	1323	6507	71	43	10	14	15690	0	0	0	0	0	0	0	0
SRR4448188	1086176	0	1014272	30874	12173	1717	7429	82	41	2	13	35995	0	0	0	0	0	0	0	0
SRR4448189	567323	0	522581	26890	10777	1515	6281	85	49	7	16	15867	0	0	0	0	0	0	0	0
SRR4448190	1206937	0	1128445	37902	12550	1696	9533	83	48	9	15	36242	0	0	0	0	0	0	0	0
SRR4448191	1671525	0	1571282	47480	14644	2000	11943	110	54	7	19	44283	0	0	0	0	0	0	0	0
SRR4448192	543391	0	503348	23555	9918	1381	5662	77	35	9	18	14433	0	0	0	0	0	0	0	0
SRR4448193	1081059	0	1013310	34474	12738	1793	8620	98	58	8	14	28988	0	0	0	0	0	0	0	0
SRR4448194	865062	0	806112	32683	11478	1587	8349	73	44	5	10	22889	0	0	0	0	0	0	0	0
